source,target,weight
116,1096,1.0
116,1486,1.0
116,2589,1.0
116,3869,1.0
116,4161,1.0
116,4464,1.0
116,5132,1.0
116,5797,1.0
116,5872,1.0
117,1197,1.0
117,1474,1.0
117,2111,1.0
117,3275,1.0
117,3517,1.0
118,1151,1.0
118,2909,1.0
118,3063,1.0
118,3475,1.0
118,5296,1.0
118,5387,1.0
118,5566,1.0
119,167,1.0
119,420,1.0
119,452,1.0
119,518,1.0
119,834,1.0
119,883,1.0
119,1644,1.0
119,1724,1.0
119,1909,1.0
119,2196,1.0
119,2642,1.0
119,2955,1.0
119,3142,1.0
119,3190,1.0
119,3303,1.0
119,3487,1.0
119,3532,1.0
119,3996,1.0
119,4304,1.0
119,4458,1.0
119,4659,1.0
119,4707,1.0
119,4863,1.0
119,5003,1.0
119,5060,1.0
119,5449,1.0
120,496,1.0
120,559,1.0
120,1105,1.0
120,5128,1.0
121,2922,1.0
121,3603,1.0
121,3951,1.0
121,5628,1.0
121,5734,1.0
121,5948,1.0
122,475,1.0
122,2700,1.0
122,4223,1.0
122,4482,1.0
122,4629,1.0
123,312,1.0
123,358,1.0
123,493,1.0
123,705,1.0
123,2725,1.0
123,3294,1.0
123,5153,1.0
124,603,1.0
124,1589,1.0
124,3209,1.0
124,3867,1.0
124,4772,1.0
124,4894,1.0
125,320,1.0
125,2050,1.0
125,3043,1.0
125,3238,1.0
125,3745,1.0
125,3862,1.0
126,1604,1.0
126,2309,1.0
126,4108,1.0
126,4338,1.0
126,5053,1.0
126,5804,1.0
126,5867,1.0
127,1395,1.0
127,1777,1.0
127,2634,1.0
127,2669,1.0
127,3565,1.0
128,709,1.0
128,2731,1.0
128,4259,1.0
128,4361,1.0
128,4363,1.0
128,4793,1.0
129,1000,1.0
129,2470,1.0
129,3925,1.0
129,4515,1.0
129,5370,1.0
129,5719,1.0
130,314,1.0
130,1000,1.0
130,1647,1.0
130,2106,1.0
130,2333,1.0
131,289,1.0
131,1032,1.0
131,2147,1.0
131,2636,1.0
131,2919,1.0
131,3165,1.0
131,3363,1.0
131,5819,1.0
131,5888,1.0
132,662,1.0
132,2128,1.0
132,2552,1.0
132,3012,1.0
132,3371,1.0
132,3870,1.0
133,1476,1.0
133,2310,1.0
133,2998,1.0
133,3039,1.0
133,3862,1.0
133,4713,1.0
134,835,1.0
134,885,1.0
134,1541,1.0
134,1569,1.0
134,1954,1.0
134,1988,1.0
134,5325,1.0
134,5362,1.0
135,287,1.0
135,1732,1.0
135,3022,1.0
135,3025,1.0
135,3293,1.0
135,4728,1.0
136,595,1.0
136,657,1.0
136,691,1.0
136,3021,1.0
136,3653,1.0
136,3746,1.0
136,5421,1.0
137,623,1.0
137,3169,1.0
137,3174,1.0
137,3304,1.0
137,3555,1.0
137,4858,1.0
138,1265,1.0
138,2076,1.0
138,3161,1.0
138,3683,1.0
138,5133,1.0
139,1882,1.0
139,2687,1.0
139,2704,1.0
139,3035,1.0
139,4205,1.0
139,5423,1.0
140,3376,1.0
140,3844,1.0
140,4672,1.0
140,4970,1.0
140,5066,1.0
141,2097,1.0
141,3188,1.0
141,4972,1.0
141,5718,1.0
141,5970,1.0
142,709,1.0
142,996,1.0
142,1153,1.0
142,1755,1.0
142,3531,1.0
142,3578,1.0
142,3641,1.0
142,4275,1.0
142,4361,1.0
142,4793,1.0
142,4949,1.0
142,5001,1.0
142,5146,1.0
142,5602,1.0
142,5899,1.0
143,1244,1.0
143,1283,1.0
143,2365,1.0
143,3024,1.0
143,4906,1.0
144,574,1.0
144,762,1.0
144,991,1.0
144,2363,1.0
144,2427,1.0
144,2564,1.0
144,3215,1.0
144,3256,1.0
144,4025,1.0
144,5008,1.0
144,5063,1.0
144,5096,1.0
144,5213,1.0
144,5645,1.0
145,351,1.0
145,2579,1.0
145,3135,1.0
145,3369,1.0
145,5668,1.0
146,623,1.0
146,1565,1.0
146,2666,1.0
146,4899,1.0
146,5288,1.0
147,169,1.0
147,1104,1.0
147,1177,1.0
147,1445,1.0
147,3269,1.0
147,4231,1.0
148,255,1.0
148,769,1.0
148,1995,1.0
148,2113,1.0
148,2213,1.0
148,2579,1.0
148,3553,1.0
148,3707,1.0
148,3726,1.0
148,4497,1.0
148,4637,1.0
148,5247,1.0
149,390,1.0
149,1650,1.0
149,2571,1.0
149,2673,1.0
149,3081,1.0
149,3163,1.0
149,4041,1.0
149,4572,1.0
149,5633,1.0
149,5685,1.0
149,5833,1.0
149,5961,1.0
150,1999,1.0
150,4057,1.0
150,4163,1.0
150,4358,1.0
150,4488,1.0
150,5509,1.0
150,5886,1.0
151,1861,1.0
151,1930,1.0
151,1941,1.0
151,2285,1.0
151,3207,1.0
151,3300,1.0
151,4204,1.0
152,865,1.0
152,1693,1.0
152,2421,1.0
152,3205,1.0
152,4296,1.0
152,4574,1.0
152,5037,1.0
152,5713,1.0
152,5982,1.0
153,200,1.0
153,1230,1.0
153,1362,1.0
153,3222,1.0
153,4354,1.0
153,4539,1.0
154,1129,1.0
154,1517,1.0
154,2182,1.0
154,3382,1.0
154,4667,1.0
154,5284,1.0
154,5597,1.0
155,559,1.0
155,1227,1.0
155,2232,1.0
155,2271,1.0
155,3387,1.0
155,4034,1.0
155,4921,1.0
155,5972,1.0
156,707,1.0
156,2388,1.0
156,3213,1.0
156,3530,1.0
156,3775,1.0
156,4673,1.0
156,5199,1.0
156,5244,1.0
157,757,1.0
157,1087,1.0
157,1679,1.0
157,2118,1.0
157,2614,1.0
157,2764,1.0
158,649,1.0
158,3208,1.0
158,3797,1.0
158,3919,1.0
158,4052,1.0
159,1206,1.0
159,1568,1.0
159,2076,1.0
159,3161,1.0
159,3277,1.0
160,1667,1.0
160,1722,1.0
160,2894,1.0
160,2993,1.0
160,5805,1.0
160,5938,1.0
161,2478,1.0
161,2823,1.0
161,3737,1.0
161,3747,1.0
161,5457,1.0
161,5721,1.0
162,1328,1.0
162,1589,1.0
162,2020,1.0
162,3413,1.0
162,4379,1.0
162,4853,1.0
162,5064,1.0
163,899,1.0
163,2244,1.0
163,4746,1.0
163,4892,1.0
163,5177,1.0
164,710,1.0
164,2060,1.0
164,2968,1.0
164,3667,1.0
164,4979,1.0
164,5439,1.0
165,2183,1.0
165,2353,1.0
165,3962,1.0
165,5122,1.0
165,5234,1.0
166,414,1.0
166,610,1.0
166,793,1.0
166,1086,1.0
166,1404,1.0
